Country,Latitude,Longitude
Kazakhstan,51.160523,71.470356
Kenya,-1.292066,36.821946
Kiribati,1.451817,172.971662
Kosovo,42.662914,21.165503
Kuwait,29.375859,47.977405
Kyrgyzstan,42.874621,74.569762
Laos,17.975706,102.633104
Latvia,56.949649,24.105186
Lebanon,33.888629,35.495479
Lesotho,-29.363219,27.51436
Liberia,6.290743,-10.760524
Libya,32.887209,13.191338
Liechtenstein,47.14103,9.520928
Lithuania,54.687156,25.279651
Luxembourg,49.611621,6.131935
Macau,22.166667,113.55
Macedonia (FYROM),41.997346,21.427996
Madagascar,-18.87919,47.507905
Malawi,-13.962612,33.774119
Malaysia,3.139003,101.686855
Maldives,4.175496,73.509347
Mali,12.639232,-8.002889
Malta,35.898909,14.514553
Marshall Islands,7.116421,171.185774
Martinique,14.616065,-61.05878
Mauritania,18.07353,-15.958237
Mauritius,-20.166896,57.502332
Mayotte,-12.780949,45.227872
Mexico,19.432608,-99.133208
Micronesia,6.914712,158.161027
Moldova,47.010453,28.86381
Monaco,43.737411,7.420816
Mongolia,47.886399,106.905744
Montenegro,42.43042,19.259364
Montserrat,16.706523,-62.215738
Morocco,33.97159,-6.849813
Mozambique,-25.891968,32.605135
Myanmar (Burma),19.763306,96.07851
Nagorno-Karabakh Republic,39.826385,46.763595
Namibia,-22.560881,17.065755
Nauru,-0.546686,166.921091
Nepal,27.717245,85.323961
Netherlands,52.370216,4.895168
Netherlands Antilles,12.1091242,-68.9316546
New Caledonia,-22.255823,166.450524
New Zealand,-41.28646,174.776236
Nicaragua,12.114993,-86.236174
Niger,13.511596,2.125385
Nigeria,9.076479,7.398574
Niue,-19.055371,-169.917871
Norfolk Island,-29.056394,167.959588
North Korea,39.039219,125.762524
Northern Cyprus,35.185566,33.382276
Northern Mariana Islands,15.177801,145.750967
Norway,59.913869,10.752245
Oman,23.58589,58.405923
Pakistan,33.729388,73.093146
Palau,7.500384,134.624289
Palestine,31.9073509,35.5354719
Panama,9.101179,-79.402864
Papua New Guinea,-9.4438,147.180267
Paraguay,-25.26374,-57.575926
Peru,-12.046374,-77.042793
Philippines,14.599512,120.98422
Pitcairn Islands,-25.06629,-130.100464
Poland,52.229676,21.012229
Portugal,38.722252,-9.139337
Puerto Rico,18.466334,-66.105722
Qatar,25.285447,51.53104
Réunion,-20.882057,55.450675
Romania,44.426767,26.102538
Russia,55.755826,37.6173
Rwanda,-1.957875,30.112735
Saint Pierre and Miquelon,46.775846,-56.180636
Saint Vincent and the Grenadines,13.160025,-61.224816
Samoa,-13.850696,-171.751355
San Marino,43.935591,12.447281
São Tomé and Príncipe,0.330192,6.733343
Saudi Arabia,24.749403,46.902838
Senegal,14.764504,-17.366029
Serbia,44.786568,20.448922
Seychelles,-4.619143,55.451315
Sierra Leone,8.465677,-13.231722
Singapore,1.280095,103.850949
Slovakia,48.145892,17.107137
Slovenia,46.056947,14.505751
Solomon Islands,-9.445638,159.9729
Somalia,2.046934,45.318162
South Africa,-25.747868,28.229271
South Georgia and the South Sandwich Islands,-54.28325,-36.493735
South Korea,37.566535,126.977969
South Ossetia,42.22146,43.964405
South Sudan,4.859363,31.57125
Spain,40.416775,-3.70379
Sri Lanka,6.89407,79.902478
St. Barthélemy,17.896435,-62.852201
St. Kitts and Nevis,17.302606,-62.717692
St. Lucia,14.010109,-60.987469
St. Martin,18.067519,-63.082466
Sudan,15.500654,32.559899
Suriname,5.852036,-55.203828
Svalbard and Jan Mayen,78.062,22.055
Swaziland,-26.305448,31.136672
Sweden,59.329323,18.068581
Switzerland,46.947974,7.447447
Syria,33.513807,36.276528
Taiwan,25.032969,121.565418
Tajikistan,38.559772,68.787038
Tanzania,-6.162959,35.751607
Thailand,13.756331,100.501765
Timor-Leste,-8.556856,125.560314
Togo,6.172497,1.231362
Tokelau,-9.2005,-171.848
Tonga,-21.139342,-175.204947
Transnistria,46.848185,29.596805
Trinidad and Tobago,10.654901,-61.501926
Tristan da Cunha,-37.068042,-12.311315
Tunisia,36.806495,10.181532
Turkey,39.933364,32.859742
Turkmenistan,37.960077,58.326063
Turks and Caicos Islands,21.467458,-71.13891
Tuvalu,-8.520066,179.198128
U.S. Virgin Islands,18.3419,-64.930701
Uganda,0.347596,32.58252
Ukraine,50.4501,30.5234
United Arab Emirates,24.299174,54.697277
United Kingdom,51.507351,-0.127758
United States,38.907192,-77.036871
Uruguay,-34.901113,-56.164531
Uzbekistan,41.299496,69.240073
Vanuatu,-17.733251,168.327325
Vatican City,41.902179,12.453601
Venezuela,10.480594,-66.903606
Vietnam,21.027764,105.83416
Wallis and Futuna,-13.282509,-176.176447
Western Sahara,27.125287,-13.1625
Yemen,15.369445,44.191007
Zambia,-15.387526,28.322817
Zimbabwe,-17.825166,31.03351
